<sortable 1>
^ 번호 ^ 원본 ^ 번역 ^ 제목 ^ 작성일 ^ 비밀등급 ^ 상태 ^
| 901 | [[https://www.wikileaks.org/plusd/cables/08SEOUL596_a.html| 08SEOUL596 ]]| [[/08SEOUL596]] | 유명환 외무장관, 중국 방문 중에 6자 회담과 한중 대화 논의 | 2008-03-25 | 기밀 | 완료 |
| 902 | [[https://www.wikileaks.org/plusd/cables/08SEOUL616_a.html| 08SEOUL616 ]]| [[/08SEOUL616]] | 개성 공단 폐쇄, 북한의 불만 표출 | 2008-03-27 | 기밀 | 완료 |
| 903 | [[https://www.wikileaks.org/plusd/cables/08SEOUL617_a.html| 08SEOUL617 ]]| [[/08SEOUL617]] | 이 대통령 북한 관련 함의가 담긴 성명을 전달 | 2008-03-27 | 일반/공무외 사용금지 | 완료 |
| 904 | [[https://www.wikileaks.org/plusd/cables/08SEOUL622_a.html| 08SEOUL622 ]]| [[/08SEOUL622]] | 한국 정관계, 학계, 비정부 기구, 북한 식량난이 심각하다고 생각 | 2008-03-28 | 기밀 | 완료 |
| 905 | [[https://www.wikileaks.org/plusd/cables/08SEOUL623_a.html| 08SEOUL623 ]]| [[/08SEOUL623]] | 한국 정부, 북한의 스틱스 미사일 시험 평가절하 | 2008-03-28 | 기밀 | 완료 |
| 906 | [[https://www.wikileaks.org/plusd/cables/08SEOUL629_a.html| 08SEOUL629 ]]| [[/08SEOUL629]] | 국회의원 선거철이 시작되다 | 2008-03-31 | 기밀 | 완료 |
| 907 | [[https://www.wikileaks.org/plusd/cables/08SEOUL636_a.html| 08SEOUL636 ]]| [[/08SEOUL636]] | 한국 정부, 북한의 거친 언사에 차분히 대응 | 2008-03-31 | 기밀 | 완료 |
| 908 | [[https://www.wikileaks.org/plusd/cables/08SEOUL644_a.html| 08SEOUL644 ]]| [[/08SEOUL644]] | 미 국방부의 중국 군사력 보고서에 대한 한국의 반응 | 2008-04-01 | 기밀 | |
| 909 | [[https://www.wikileaks.org/plusd/cables/08SEOUL645_a.html| 08SEOUL645 ]]| [[/08SEOUL645]] | 로어배커 의원 방한 | 2008-04-01 | 대외비 | |
| 910 | [[https://www.wikileaks.org/plusd/cables/08SEOUL650_a.html| 08SEOUL650 ]]| [[/08SEOUL650]] | 멜라트 은행을 이용한 이란의 핵확산 활동에 대한 한국의 반응 | 2008-04-01 | 비밀 | 완료 |
| 911 | [[https://www.wikileaks.org/plusd/cables/08SEOUL682_a.html| 08SEOUL682 ]]| [[/08SEOUL682]] | 마지막 여론조사 한나라당 원내 다수당 전망 | 2008-04-04 | 일반 | 완료 |
| 912 | [[https://www.wikileaks.org/plusd/cables/08SEOUL702_a.html| 08SEOUL702 ]]| [[/08SEOUL702]] | 블루 랜던 3단계 최종 사용 점검: 항목 05-050092404 | 2008-04-08 | 일반 | |
| 913 | [[https://www.wikileaks.org/plusd/cables/08SEOUL706_a.html| 08SEOUL706 ]]| [[/08SEOUL706]] | 한나라당, 승리 목전에 두다 | 2008-04-08 | 기밀 | 완료 |
| 914 | [[https://www.wikileaks.org/plusd/cables/08SEOUL707_a.html| 08SEOUL707 ]]| [[/08SEOUL707]] | 외교안보수석 김병국이 말하는 북한, 한미정상회담과 동맹 | 2008-04-08 | 기밀 | 완료 |
| 915 | [[https://www.wikileaks.org/plusd/cables/08SEOUL719_a.html| 08SEOUL719 ]]| [[/08SEOUL719]] | 4월 9일 총선: 한나라당, 간신히 과반 의석 획득, 박근혜는 자신의 파워를 입증 | 2008-04-09 | 기밀 | 완료 |
| 916 | [[https://www.wikileaks.org/plusd/cables/08SEOUL728_a.html| 08SEOUL728 ]]| [[/08SEOUL728]] | 총선: 승리하기는 했지만 이명박 대통령에게는 달갑지 않은 결과 | 2008-04-10 | 기밀 | 완료 |
| 917 | [[https://www.wikileaks.org/plusd/cables/08SEOUL736_a.html| 08SEOUL736 ]]| [[/08SEOUL736]] | 한국, 유엔안보리 결의안 1737호, 1747호, 1803호 여행 금지 이미 시행 | 2008-04-11 | 기밀 | 완료 |
| 918 | [[https://www.wikileaks.org/plusd/cables/08SEOUL737_a.html| 08SEOUL737 ]]| [[/08SEOUL737]] | 초조한 전 외무장관: 이명박정부 협력해서 일 처리? | 2008-04-11 | 기밀 | 완료 |
| 919 | [[https://www.wikileaks.org/plusd/cables/08SEOUL738_a.html| 08SEOUL738 ]]| [[/08SEOUL738]] | 한국, 석유 투자를 노리고 이라크 채무의 80퍼센트 탕감 | 2008-04-11 | 기밀 | 완료 |
| 920 | [[https://www.wikileaks.org/plusd/cables/08SEOUL773_a.html| 08SEOUL773 ]]| [[/08SEOUL773]] | 이명박 대통령, 한미 FTA와 경제 개혁을 논의할 임시 국회 얻어내 | 2008-04-16 | 기밀 | 완료 |
| 921 | [[https://www.wikileaks.org/plusd/cables/08SEOUL774_a.html| 08SEOUL774 ]]| [[/08SEOUL774]] | 이명박 대통령의 대북 정책: 기본 원칙을 새로 정립 | 2008-04-16 | 기밀 | 완료 |
| 922 | [[https://www.wikileaks.org/plusd/cables/08SEOUL776_a.html| 08SEOUL776 ]]| [[/08SEOUL776]] | 이명박 정치적 풍파를 견디고, 우호적 국회를 맞이 | 2008-04-17 | 기밀 | 완료 |
| 923 | [[https://www.wikileaks.org/plusd/cables/08SEOUL796_a.html| 08SEOUL796 ]]| [[/08SEOUL796]] | 오준 외교통상부 다자외교실장, 이란 행 747 항공기 보류의 국제법적 근거 요청 | 2008-04-18 | 비밀/외국에 공개 금지 | |
| 924 | [[https://www.wikileaks.org/plusd/cables/08SEOUL804_a.html| 08SEOUL804 ]]| [[/08SEOUL804]] | 아프가니스탄 원조국 회의에 대한 한국 반응 | 2008-04-21 | 대외비 | |
| 925 | [[https://www.wikileaks.org/plusd/cables/08SEOUL806_a.html| 08SEOUL806 ]]| [[/08SEOUL806]] | 김성 동아시아태평양/한국 담당 차관보 및 대표단에게 한국 체류 허가 | 2008-04-21 | 대외비 | |
| 926 | [[https://www.wikileaks.org/plusd/cables/08SEOUL831_a.html| 08SEOUL831 ]]| [[/08SEOUL831]] | 북한 경제: 개성 공단 현황 | 2008-04-25 | 기밀 | |
| 927 | [[https://www.wikileaks.org/plusd/cables/08SEOUL833_a.html| 08SEOUL833 ]]| [[/08SEOUL833]] | 한국은 양심수 선언을 후원할 수 없어 | 2008-04-25 | 기밀 | 완료 |
| 928 | [[https://www.wikileaks.org/plusd/cables/08SEOUL849_a.html| 08SEOUL849 ]]| [[/08SEOUL849]] | 한국, 해성-II 함대함 미사일 시험 발사 | 2008-04-28 | 비밀 | 완료 |
| 929 | [[https://www.wikileaks.org/plusd/cables/08SEOUL853_a.html| 08SEOUL853 ]]| [[/08SEOUL853]] | 세드니 동아시아태평양 담당 부차관보, 한국 정부 면담: 말뿐 아니라 행동에서도 더 강력한 한미 동맹 | 2008-04-28 | 기밀 | 완료 |
| 930 | [[https://www.wikileaks.org/plusd/cables/08SEOUL856_a.html| 08SEOUL856 ]]| [[/08SEOUL856]] | SPI 17: 제17차 한미 안보정책구상 회의(1/2부) | 2008-04-28 | 비밀 | 완료 |
| 931 | [[https://www.wikileaks.org/plusd/cables/08SEOUL857_a.html| 08SEOUL857 ]]| [[/08SEOUL857]] | SPI 17: 제17차 한미 안보정책구상 회의(2/2부) | 2008-04-28 | 비밀 | 완료 |
| 932 | [[https://www.wikileaks.org/plusd/cables/08SEOUL862_a.html| 08SEOUL862 ]]| [[/08SEOUL862]] | 김영삼 전 대통령, 여전히 현안에 밝아: 한나라당의 혼란과 현안 언급 | 2008-04-29 | 기밀 | 완료 |
| 933 | [[https://www.wikileaks.org/plusd/cables/08SEOUL877_a.html| 08SEOUL877 ]]| [[/08SEOUL877]] | 전문 분류 하향 조정 요청 | 2008-04-29 | 일반 | |
| 934 | [[https://www.wikileaks.org/plusd/cables/08SEOUL878_a.html| 08SEOUL878 ]]| [[/08SEOUL878]] | 한국정부 유엔 인권이사회 이사국 선거 재선을 목표로 미국의 지지 요청 | 2008-04-29 | 대외비 | 완료 |
| 935 | [[https://www.wikileaks.org/plusd/cables/08SEOUL879_a.html| 08SEOUL879 ]]| [[/08SEOUL879]] | 동영상이 인터넷에 떠돌면서 중국 학생들의 폭력 시위에 대한 한국인의 분노 커져 | 2008-04-29 | 기밀 | |
| 936 | [[https://www.wikileaks.org/plusd/cables/08SEOUL881_a.html| 08SEOUL881 ]]| [[/08SEOUL881]] | 북한, 의약품과 장비가 부족하여 전염병 대처에 어려움 겪어 | 2008-04-30 | 대외비 | |
| 937 | [[https://www.wikileaks.org/plusd/cables/08SEOUL896_a.html| 08SEOUL896 ]]| [[/08SEOUL896]] | 한국의 역내 관점: 동북아시아평화안보메커니즘과 탈북자 정책 | 2008-05-01 | 기밀 | 완료 |
| 938 | [[https://www.wikileaks.org/plusd/cables/08SEOUL903_a.html| 08SEOUL903 ]]| [[/08SEOUL903]] | 국무부 부장관의 5월 7~8일 서울 방문을 위한 무대 연출 | 2008-05-01 | 기밀 | 완료 |
| 939 | [[https://www.wikileaks.org/plusd/cables/08SEOUL917_a.html| 08SEOUL917 ]]| [[/08SEOUL917]] | 한국, 버마 국민 투표의 문제점에 대해 공개 성명 고려 | 2008-05-02 | 기밀 | 완료 |
| 940 | [[https://www.wikileaks.org/plusd/cables/08SEOUL918_a.html| 08SEOUL918 ]]| [[/08SEOUL918]] | NPT 준비위원회 외교문서에 대한 한국 반응 | 2008-05-02 | 대외비 | |
| 941 | [[https://www.wikileaks.org/plusd/cables/08SEOUL919_a.html| 08SEOUL919 ]]| [[/08SEOUL919]] | 한일 정상회담 후속 조치: 미래를 내다보지만 발을 내디디지는 않아 | 2008-05-02 | 기밀 | 완료 |
| 942 | [[https://www.wikileaks.org/plusd/cables/08SEOUL926_a.html| 08SEOUL926 ]]| [[/08SEOUL926]] | 김성 동아시아태평양/한국 담당 차관보 및 대표단에게 한국 체류 허가 | 2008-05-06 | 대외비 | |
| 943 | [[https://www.wikileaks.org/plusd/cables/08SEOUL928_a.html| 08SEOUL928 ]]| [[/08SEOUL928]] | 한국, 네그로폰테 부장관과 회동 이후 버마 국민 투표에 대해 성명 발표 | 2008-05-06 | 기밀 | 완료 |
