<sortable 1>
^ 번호 ^ 원본 ^ 번역 ^ 제목 ^ 작성일 ^ 비밀등급 ^ 상태 ^
| 1001 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1272_a.html| 08SEOUL1272 ]]| [[/08SEOUL1272]] | 제임스 신 국방부 차관보, 이용준 외교통상부 차관보 면담: 한미 동맹 문제는 천천히 조용히 진행해야 | 2008-06-26 | 기밀 | 완료 |
| 1002 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1273_a.html| 08SEOUL1273 ]]| [[/08SEOUL1273]] | 박진: 미국산 소고기 반대 운동은 “민주주의가 지나친” 결과 | 2008-06-26 | 기밀 | 완료 |
| 1003 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1280_a.html| 08SEOUL1280 ]]| [[/08SEOUL1280]] | 6월 26~27일 국무장관의 방한을 위한 최신정보 | 2008-06-26 | 기밀 | 완료 |
| 1004 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1292_a.html| 08SEOUL1292 ]]| [[/08SEOUL1292]] | 미 대사, 김성환 신임 외교안보수석 면담 | 2008-06-27 | 기밀 | 완료 |
| 1005 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1314_a.html| 08SEOUL1314 ]]| [[/08SEOUL1314]] | 지역 재난 구호 관련 아세안지역안보포럼 장관 성명은 관망 입장 선호 | 2008-07-01 | 기밀 | 완료 |
| 1006 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1317_a.html| 08SEOUL1317 ]]| [[/08SEOUL1317]] | 한국, 버마 정책에 대해 여전히 미국과 같은 입장 | 2008-07-01 | 기밀 | 완료 |
| 1007 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1319_a.html| 08SEOUL1319 ]]| [[/08SEOUL1319]] | 북한 경제 브리핑—2008년 6월 | 2008-07-01 | 미분류 | |
| 1008 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1334_a.html| 08SEOUL1334 ]]| [[/08SEOUL1334]] | 한국 정부, 11월 캔버라 MTCR 총회 참석 예정 | 2008-07-02 | 기밀 | |
| 1009 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1337_a.html| 08SEOUL1337 ]]| [[/08SEOUL1337]] | 언론 브리핑—2008년 7월 3일 | 2008-07-03 | 미분류 | |
| 1010 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1345_a.html| 08SEOUL1345 ]]| [[/08SEOUL1345]] | 언론 브리핑—2008년 7월 7일 | 2008-07-07 | 미분류 | |
| 1011 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1347_a.html| 08SEOUL1347 ]]| [[/08SEOUL1347]] | 아동 노동에 관한 정보 요청에 대한 반응 | 2008-07-08 | 대외비 | |
| 1012 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1354_a.html| 08SEOUL1354 ]]| [[/08SEOUL1354]] | 포털 사이트, 시위의 진화에 한몫. 난처한 한국 정부 | 2008-07-08 | 대외비 | |
| 1013 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1355_a.html| 08SEOUL1355 ]]| [[/08SEOUL1355]] | 아프가니스탄 육군 규모 증가에 관한 외교문서 전달 | 2008-07-08 | 기밀 | 완료 |
| 1014 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1370_a.html| 08SEOUL1370 ]]| [[/08SEOUL1370]] | 한나라당과 민주당, 지도부 선출. 국회 개원 준비 | 2008-07-09 | 기밀 | 완료 |
| 1015 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1371_a.html| 08SEOUL1371 ]]| [[/08SEOUL1371]] | 한국, 쿠바 및 시리아와 영사 관계 모색 | 2008-07-09 | 기밀 | 완료 |
| 1016 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1379_a.html| 08SEOUL1379 ]]| [[/08SEOUL1379]] | 조류독감: 한국, H5N1 감시 체계 변경 숙고. 항바이러스제 보유고 늘릴 계획 | 2008-07-10 | 대외비 | |
| 1017 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1391_a.html| 08SEOUL1391 ]]| [[/08SEOUL1391]] | 한국 정부, 인권재단(이하 HRF)의 유엔경제사회이사회(이하 ECOSOC) 자문 기구 지위 재신청 지지하는 쪽으로 | 2008-07-11 | 기밀 | |
| 1018 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1417_a.html| 08SEOUL1417 ]]| [[/08SEOUL1417]] | 금강산 총격 사건과 그 여파로 남북 관계 전망 어두워 | 2008-07-15 | 기밀 | 할당 |
| 1019 | [[https://www.wikileaks.org/plusd/cables/08SEOUL1427_a.html| 08SEOUL1427 ]]| [[/08SEOUL1427]] | 국회, 개원했으나 일할 생각은 없어 | 2008-07-16 | 기밀 | 완료 |
