<sortable 1>
^ 번호 ^ 원본 ^ 번역 ^ 제목 ^ 작성일 ^ 비밀등급 ^ 상태 ^
| 1101 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2119_a.html| 08SEOUL2119 ]]| [[/08SEOUL2119]] | 한미 정책기획협의: 유명환 한일 간의 유대관계 강조; 외교통상부 당국자들을 G20 정상회담을 고대 | 2008-10-29 | 기밀 | 완료 |
| 1102 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2120_a.html| 08SEOUL2120 ]]| [[/08SEOUL2120]] | 국회 통일외교통상위원회, 대북 정책과 한미 FTA, 테러 지원국 명단 숙의 | 2008-10-30 | 대외비 | 완료 |
| 1103 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2130_a.html| 08SEOUL2130 ]]| [[/08SEOUL2130]] | 한국, NHK-II 지대지 미사일 시험 발사 | 2008-10-30 | 비밀 | 완료 |
| 1104 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2137_a.html| 08SEOUL2137 ]]| [[/08SEOUL2137]] | 미사일 기술 통제 체제(MTCR): ‘사히드 바케리 인더스트리얼 그룹(SBIG), 환경 시험기 조달 시도: 사례 연구’ | 2008-11-02 | 비밀 | |
| 1105 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2154_a.html| 08SEOUL2154 ]]| [[/08SEOUL2154]] | 제19차 안보정책구상 총회 | 2008-11-04 | 기밀 | 완료 |
| 1106 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2155_a.html| 08SEOUL2155 ]]| [[/08SEOUL2155]] | 한국, 한중일 국방 회의 개최에 대해 미국의 견해 타진 | 2008-11-04 | 기밀 | 완료 |
| 1107 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2160_a.html| 08SEOUL2160 ]]| [[/08SEOUL2160]] | 이란 금융제재 조치에 대한 한국 반응 | 2008-11-04 | 미분류 | 완료 |
| 1108 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2166_a.html| 08SEOUL2166 ]]| [[/08SEOUL2166]] | 한국, 첫 APDP 고위급 회의(SOM)를 주관하는 임무 받아들여 | 2008-11-05 | 미분류 | |
| 1109 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2168_a.html| 08SEOUL2168 ]]| [[/08SEOUL2168]] | 금융조치대책기구(FATF) 지침에 대한 한국 정부의 반응 | 2008-11-05 | 미분류 | |
| 1110 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2176_a.html| 08SEOUL2176 ]]| [[/08SEOUL2176]] | 미 대사와 노동부 장관, 노동자에게 미치는 경제적 영향 논의 | 2008-11-06 | 기밀 | |
| 1111 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2177_a.html| 08SEOUL2177 ]]| [[/08SEOUL2177]] | 외교통상부와 미국 서반구국, 한국과 라틴아메리카의 관계 확대에 대해 협의 | 2008-11-06 | 기밀 | |
| 1112 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2178_a.html| 08SEOUL2178 ]]| [[/08SEOUL2178]] | 대북 전단 살포 계속 | 2008-11-07 | 기밀 | 완료 |
| 1113 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2182_a.html| 08SEOUL2182 ]]| [[/08SEOUL2182]] | 유엔 제3위원회(사회적·인도적·문화적 의제를 다룬다) 결의안에 대한 한국 정부 반응 | 2008-11-07 | 기밀 | 완료 |
| 1114 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2191_a.html| 08SEOUL2191 ]]| [[/08SEOUL2191]] | 한국 언론의 반응 | 2008-11-10 | 미분류 | 완료 |
| 1115 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2192_a.html| 08SEOUL2192 ]]| [[/08SEOUL2192]] | 언론 브리핑—2008년 11월 10일 | 2008-11-10 | 미분류 | |
| 1116 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2103_a.html| 08SEOUL2203 ]]| [[/08SEOUL2203]] | 미 대사, 박근혜 한나라당 대표 면담 | 2008-11-13 | 기밀 | 완료 |
| 1117 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2106_a.html| 08SEOUL2206 ]]| [[/08SEOUL2206]] | 북한의 국경 제한 선언에 대해 한국 정부, 차분한 대응 | 2008-11-13 | 기밀 | 완료 |
| 1118 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2218_a.html| 08SEOUL2218 ]]| [[/08SEOUL2218]] | 한승수 총리, 한미 FTA와 관련 기다릴 채비, 북한의 강경 기조의 배경엔 내부 문제가 | 2008-11-14 | 기밀 | 완료 |
| 1119 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2231_a.html| 08SEOUL2231 ]]| [[/08SEOUL2231]] | 못타키 이란 총리, 아프가니스탄과 이라크 문제에 협력할 수 있어. 대북 군사 협력은 “불필요” | 2008-11-18 | 기밀 | |
| 1120 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2248_a.html| 08SEOUL2248 ]]| [[/08SEOUL2248]] | 한국 정부, 최근 버마 군부의 자국민 탄압에 소극적 대처 | 2008-11-21 | 기밀 | 완료 |
| 1121 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2250_a.html| 08SEOUL2250 ]]| [[/08SEOUL2250]] | 한국, 해성-2 순항미사일 비행 시험 시행 | 2008-11-21 | 비밀 | 완료 |
| 1122 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2251_a.html| 08SEOUL2251 ]]| [[/08SEOUL2251]] | 니카라과의 정치 상황, 한국 정부에 근심거리 | 2008-11-21 | 기밀 | |
| 1123 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2252_a.html| 08SEOUL2252 ]]| [[/08SEOUL2252]] | 이라노 힌드(이란 해운사) 외교문서에 대한 한국 정부의 반응 | 2008-11-21 | 비밀 | 완료 |
| 1124 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2261_a.html| 08SEOUL2261 ]]| [[/08SEOUL2261]] | 12월 15~19일 지적 재산권 관리 프로그램 대상자 | 2008-11-24 | 미분류 | |
| 1125 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2265_a.html| 08SEOUL2265 ]]| [[/08SEOUL2265]] | 한국 언론의 반응 | 2008-11-24 | 미분류 | |
| 1126 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2268_a.html| 08SEOUL2268 ]]| [[/08SEOUL2268]] | 서울 문화재 반환 회의에 대한 외교문서 | 2008-11-25 | 기밀 | 완료 |
| 1127 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2270_a.html| 08SEOUL2270 ]]| [[/08SEOUL2270]] | 북한의 개성 공단 압박이 가중되는 것에 대한 한국 정부의 반응 | 2008-11-25 | 기밀 | 완료 |
| 1128 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2275_a.html| 08SEOUL2275 ]]| [[/08SEOUL2275]] | 미 대사, 광주 방문: 정치적으로는 진보적, 경제적으로 퇴행적 | 2008-11-26 | 기밀 | 완료 |
| 1129 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2278_a.html| 08SEOUL2278 ]]| [[/08SEOUL2278]] | 이란에 대한 금융조치대책기구(FATF) 성명에 대한 한국 정부의 대응 추가 정보 | 2008-11-26 | 미분류 | |
| 1130 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2279_a.html| 08SEOUL2279 ]]| [[/08SEOUL2279]] | 언론 브리핑—2008년 11월 26일 | 2008-11-26 | 미분류 | |
| 1131 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2281_a.html| 08SEOUL2281 ]]| [[/08SEOUL2281]] | 미 대사, 이용준 외교통상부 차관보 면담: 기지 반환, 작전통제권(OPCON), 미 대사관 신축 부지(NEC) 문제 논의 | 2008-11-26 | 기밀 | 완료 |
| 1132 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2282_a.html| 08SEOUL2282 ]]| [[/08SEOUL2282]] | 통일부 장관, 북한 국경 제한 조치 언급 | 2008-11-26 | 기밀 | |
| 1133 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2285_a.html| 08SEOUL2285 ]]| [[/08SEOUL2285]] | 반북 민간단체 전단 살포 계속한다고 공언 | 2008-11-28 | 기밀 | 완료 |
| 1134 | [[https://www.wikileaks.org/plusd/cables/08SEOUL2286_a.html| 08SEOUL2286 ]]| [[/08SEOUL2286]] | 언론 브리핑—2008년 11월 26일 | 2008-11-28 | 미분류 | |
