<sortable 1>
^ 번호 ^ 원본 ^ 번역 ^ 제목 ^ 작성일 ^ 비밀등급 ^ 상태 ^
| 1201 | [[https://www.wikileaks.org/plusd/cables/09SEOUL30_a.html| 09SEOUL30 ]]| [[/09SEOUL30]] | 폴리페서: 국회 갈등이 민주적 과정을 뒤엎어 | 2009-01-07 | 기밀 | 완료 |
| 1202 | [[https://www.wikileaks.org/plusd/cables/09SEOUL34_a.html| 09SEOUL34 ]]| [[/09SEOUL34]] | 한국 언론의 반응 | 2009-01-08 | 미분류 | 완료 |
| 1203 | [[https://www.wikileaks.org/plusd/cables/09SEOUL35_a.html| 09SEOUL35 ]]| [[/09SEOUL35]] | 언론 브리핑—2009년 1월 8일 | 2009-01-08 | 미분류 | 완료 |
| 1204 | [[https://www.wikileaks.org/plusd/cables/09SEOUL38_a.html| 09SEOUL38 ]]| [[/09SEOUL38]] | 한국 정부에 전달한 외교문서: 국방부 핵무기 관리에 관한 국방장관 태스크포스 2단계 보고서 공개 | 2009-01-08 | 미분류 | |
| 1205 | [[https://www.wikileaks.org/plusd/cables/09SEOUL39_a.html| 09SEOUL39 ]]| [[/09SEOUL39]] | 소말리아해적퇴치연락그룹(CGSP) 고려 사항에 대한 한국의 반응 | 2009-01-08 | 미분류 | |
| 1206 | [[https://www.wikileaks.org/plusd/cables/09SEOUL45_a.html| 09SEOUL45 ]]| [[/09SEOUL45]] | 미 대사, 김성환 외교안보수석 면담 | 2009-01-09 | 기밀 | 완료 |
| 1207 | [[https://www.wikileaks.org/plusd/cables/09SEOUL47_a.html| 09SEOUL47 ]]| [[/09SEOUL47]] | 언론 브리핑—2009년 1월 9일 | 2009-01-09 | 미분류 | |
| 1208 | [[https://www.wikileaks.org/plusd/cables/09SEOUL48_a.html| 09SEOUL48 ]]| [[/09SEOUL48]] | 폴라 디서터 차관보, 군축과 핵확산 방지에 관한 7차 한미 합동위원회 참석 | 2009-01-09 | 기밀 | |
| 1209 | [[https://www.wikileaks.org/plusd/cables/09SEOUL50_a.html| 09SEOUL50 ]]| [[/09SEOUL50]] | 국회 충돌 계속될 듯 | 2009-01-09 | 기밀 | 완료 |
| 1210 | [[https://www.wikileaks.org/plusd/cables/09SEOUL53_a.html| 09SEOUL53 ]]| [[/09SEOUL53]] | 이란의 유엔개발계획 집행이사회 회장직 진출 반대 | 2009-01-09 | 기밀 | 완료 |
| 1211 | [[https://www.wikileaks.org/plusd/cables/09SEOUL55_a.html| 09SEOUL55 ]]| [[/09SEOUL55]] | 언론 브리핑—2009년 1월 12일 | 2009-01-12 | 미분류 | |
| 1212 | [[https://www.wikileaks.org/plusd/cables/09SEOUL57_a.html| 09SEOUL57 ]]| [[/09SEOUL57]] | 국회 충돌: 야당 민주당의 지지율이 이명박 대통령 앞질러 | 2009-01-12 | 기밀 | 완료 |
| 1213 | [[https://www.wikileaks.org/plusd/cables/09SEOUL58_a.html| 09SEOUL58 ]]| [[/09SEOUL58]] | 북한 경제 브리핑—2008년 12월 | 2009-01-12 | 미분류 | |
