<sortable 1>
^ 번호 ^ 원본 ^ 번역 ^ 제목 ^ 작성일 ^ 분류 ^ 상태 ^
| 1301 | [[https://www.wikileaks.org/plusd/cables/09SEOUL327_a.html| 09SEOUL327 ]]| [[/09SEOUL327]] | 포항과 포스코, 미래를 대비한 적응—미 대사, 포항 방문 | 2009-03-03 | 대외비 | 완료 |
| 1302 | [[https://www.wikileaks.org/plusd/cables/09SEOUL331_a.html| 09SEOUL331 ]]| [[/09SEOUL331]] | 언론 브리핑—2009년 3월 3일 | 2009-03-03 | 미분류 | 완료 |
| 1303 | [[https://www.wikileaks.org/plusd/cables/09SEOUL332_a.html| 09SEOUL332 ]]| [[/09SEOUL332]] | 9차 연례 인신매매 보고서 한국 제출(2부) | 2009-03-03 | 대외비 | |
| 1304 | [[https://www.wikileaks.org/plusd/cables/09SEOUL333_a.html| 09SEOUL333 ]]| [[/09SEOUL333]] | 9차 연례 인신매매 보고서 한국 제출(1부) | 2009-03-03 | 대외비 | |
| 1305 | [[https://www.wikileaks.org/plusd/cables/09SEOUL339_a.html| 09SEOUL339 ]]| [[/09SEOUL339]] | 언론 브리핑—2009년 3월 4일 | 2009-03-04 | 미분류 | 완료 |
| 1306 | [[https://www.wikileaks.org/plusd/cables/09SEOUL341_a.html| 09SEOUL341 ]]| [[/09SEOUL341]] | G-20 회의 정보 요청: 한국 | 2009-03-04 | 기밀 | |
| 1307 | [[https://www.wikileaks.org/plusd/cables/09SEOUL342_a.html| 09SEOUL342 ]]| [[/09SEOUL342]] | 개성 공단, 인력이 필요해 | 2009-03-05 | 기밀 | 완료 |
| 1308 | [[https://www.wikileaks.org/plusd/cables/09SEOUL350_a.html| 09SEOUL350 ]]| [[/09SEOUL350]] | 언론 브리핑—2009년 3월 5일 | 2009-03-05 | 미분류 | 완료 |
| 1309 | [[https://www.wikileaks.org/plusd/cables/09SEOUL351_a.html| 09SEOUL351 ]]| [[/09SEOUL351]] | 양국 경제 회담 대표 체류 허가 | 2009-03-06 | 대외비 | |
| 1310 | [[https://www.wikileaks.org/plusd/cables/09SEOUL353_a.html| 09SEOUL353 ]]| [[/09SEOUL353]] | 언론 브리핑—2009년 3월 6일 | 2009-03-06 | 미분류 | 완료 |
| 1311 | [[https://www.wikileaks.org/plusd/cables/09SEOUL354_a.html| 09SEOUL354 ]]| [[/09SEOUL354]] | 언론 브리핑—2009년 3월 6일 | 2009-03-06 | 미분류 | 완료 |
| 1312 | [[https://www.wikileaks.org/plusd/cables/09SEOUL357_a.html| 09SEOUL357 ]]| [[/09SEOUL357]] | 한국 정부는 국제 민간 항공기구에 민간 항공기 문제를 제기할 계획 | 2009-03-06 | 기밀 | 완료 |
| 1313 | [[https://www.wikileaks.org/plusd/cables/09SEOUL359_a.html| 09SEOUL359 ]]| [[/09SEOUL359]] | 언론 브리핑—2009년 3월 9일 | 2009-03-09 | 미분류 | 완료 |
| 1314 | [[https://www.wikileaks.org/plusd/cables/09SEOUL360_a.html| 09SEOUL360 ]]| [[/09SEOUL360]] | 한국 정부, 아프가니스탄/파키스탄 정책 검토 결과 기다려 | 2009-03-09 | 기밀 | |
| 1315 | [[https://www.wikileaks.org/plusd/cables/09SEOUL362_a.html| 09SEOUL362 ]]| [[/09SEOUL362]] | 한국 해군 함정, 소말리아 해역에 배치 | 2009-03-10 | 비밀 | 완료 |
| 1316 | [[https://www.wikileaks.org/plusd/cables/09SEOUL363_a.html| 09SEOUL363 ]]| [[/09SEOUL363]] | 언론 브리핑—2009년 3월 10일 | 2009-03-10 | 미분류 | 완료 |
| 1317 | [[https://www.wikileaks.org/plusd/cables/09SEOUL364_a.html| 09SEOUL364 ]]| [[/09SEOUL364]] | 언론 반응 | 2009-03-10 | 미분류 | 완료 |
| 1318 | [[https://www.wikileaks.org/plusd/cables/09SEOUL365_a.html| 09SEOUL365 ]]| [[/09SEOUL365]] | 보안환경개요설문(SEPQ)—2009년 봄 | 2009-03-11 | 비밀/외국전파금지 | 완료 |
| 1319 | [[https://www.wikileaks.org/plusd/cables/09SEOUL371_a.html| 09SEOUL371 ]]| [[/09SEOUL371]] | 언론 브리핑—2009년 3월 11일 | 2009-03-11 | 미분류 | 완료 |
| 1320 | [[https://www.wikileaks.org/plusd/cables/09SEOUL381_a.html| 09SEOUL381 ]]| [[/09SEOUL381]] | 북한의 남북 군사 통신 단절에 의한 뜻 밖의 결과 | 2009-03-11 | 기밀 | 완료 |
| 1321 | [[https://www.wikileaks.org/plusd/cables/09SEOUL386_a.html| 09SEOUL386 ]]| [[/09SEOUL386]] | 언론 브리핑—2009년 3월 12일 | 2009-03-12 | 미분류 | |
| 1322 | [[https://www.wikileaks.org/plusd/cables/09SEOUL390_a.html| 09SEOUL390 ]]| [[/09SEOUL390]] | 한국 정부, 소말리아연안해적퇴치연락그룹(CGPCS) 6월 회의 서울에서 개최할 뜻 | 2009-03-13 | 미분류 | |
| 1323 | [[https://www.wikileaks.org/plusd/cables/09SEOUL391_a.html| 09SEOUL391 ]]| [[/09SEOUL391]] | 한국, 미사일 시스템 생산 통보 | 2009-03-13 | 비밀 | 완료 |
| 1324 | [[https://www.wikileaks.org/plusd/cables/09SEOUL392_a.html| 09SEOUL392 ]]| [[/09SEOUL392]] | 한국은 순항미사일 기술 협의 요청 | 2009-03-13 | 비밀 | 완료 |
| 1325 | [[https://www.wikileaks.org/plusd/cables/09SEOUL393_a.html| 09SEOUL393 ]]| [[/09SEOUL393]] | 언론 브리핑—2009년 3월 13일 | 2009-03-13 | 미분류 | |
| 1326 | [[https://www.wikileaks.org/plusd/cables/09SEOUL395_a.html| 09SEOUL395 ]]| [[/09SEOUL395]] | 언론 반응 | 2009-03-13 | 미분류 | 완료 |
| 1327 | [[https://www.wikileaks.org/plusd/cables/09SEOUL398_a.html| 09SEOUL398 ]]| [[/09SEOUL398]] | 언론 반응 | 2009-03-16 | 미분류 | 완료 |
| 1328 | [[https://www.wikileaks.org/plusd/cables/09SEOUL399_a.html| 09SEOUL399 ]]| [[/09SEOUL399]] | 언론 브리핑—2009년 3월 16일 | 2009-03-16 | 미분류 | 완료 |
| 1329 | [[https://www.wikileaks.org/plusd/cables/09SEOUL403_a.html| 09SEOUL403 ]]| [[/09SEOUL403]] | 2009년 스페셜 301조—사후 권고 | 2009-03-16 | 대외비 | 완료 |
| 1330 | [[https://www.wikileaks.org/plusd/cables/09SEOUL405_a.html| 09SEOUL405 ]]| [[/09SEOUL405]] | 아시아개발은행(ADB) 세이프가드 검토에 대한 한국 반응 | 2009-03-17 | 미분류 | |
| 1331 | [[https://www.wikileaks.org/plusd/cables/09SEOUL408_a.html| 09SEOUL408 ]]| [[/09SEOUL408]] | 언론 브리핑—2009년 3월 17일 | 2009-03-17 | 미분류 | |
| 1332 | [[https://www.wikileaks.org/plusd/cables/09SEOUL409_a.html| 09SEOUL409 ]]| [[/09SEOUL409]] | 언론 브리핑—2009년 3월 17일 | 2009-03-17 | 미분류 | |
| 1333 | [[https://www.wikileaks.org/plusd/cables/09SEOUL410_a.html| 09SEOUL410 ]]| [[/09SEOUL410]] | 언론 브리핑—2009년 3월 18일 | 2009-03-18 | 미분류 | 완료 |
| 1334 | [[https://www.wikileaks.org/plusd/cables/09SEOUL413_a.html| 09SEOUL413 ]]| [[/09SEOUL413]] | 파키스탄 원조국 회의: 한국 반응 | 2009-03-18 | 미분류 | |
| 1335 | [[https://www.wikileaks.org/plusd/cables/09SEOUL415_a.html| 09SEOUL415 ]]| [[/09SEOUL415]] | 한국노총, 미 대사에게 역사와 목표, 전망 브리핑 | 2009-03-19 | 기밀 | |
