<sortable 1>
^ 번호 ^ 원본 ^ 번역 ^ 제목 ^ 작성일 ^ 비밀등급 ^ 상태 ^
| 101 | [[https://www.wikileaks.org/plusd/cables/06SEOUL920_a.html| 06SEOUL920 ]]| [[/06SEOUL920]] | 외교통상부에 전달된 노근리 추모 기금에 대한 반응 | 2006-03-22 | 기밀 | 완료 |
| 102 | [[https://www.wikileaks.org/plusd/cables/06SEOUL930_a.html| 06SEOUL930 ]]| [[/06SEOUL930]] | 북한 주재 독일 부대사, 북한 체제는 “완벽한 통제”를 재천명하고자 하며 불안정은 전혀 찾아볼 수 없음 | 2006-03-22 | 기밀 | |
| 103 | [[https://www.wikileaks.org/plusd/cables/06SEOUL931_a.html| 06SEOUL931 ]]| [[/06SEOUL931]] | 일본 관료들, 서울에서 역사 문제 논의 | 2006-03-22 | 기밀 | 완료 |
| 104 | [[https://www.wikileaks.org/plusd/cables/06SEOUL935_a.html| 06SEOUL935 ]]| [[/06SEOUL935]] | 크리스토퍼 본드 상원의원, 3월 20일에 이종석 통일부 장관 예방 | 2006-03-23 | 기밀 | |
| 105 | [[https://www.wikileaks.org/plusd/cables/06SEOUL954_a.html| 06SEOUL954 ]]| [[/06SEOUL954]] | 한국, 군수품 수출에 대한 통제 강화 | 2006-03-23 | 대외비 | |
| 106 | [[https://www.wikileaks.org/plusd/cables/06SEOUL969_a.html| 06SEOUL969 ]]| [[/06SEOUL969]] | 미 대사, 3월 24일에 반기문 외무장관과 회동: 유엔 사무총장 경쟁, 북한 문제, 환경 복원 논의 | 2006-03-24 | 기밀 | |
| 107 | [[https://www.wikileaks.org/plusd/cables/06SEOUL972_a.html| 06SEOUL972 ]]| [[/06SEOUL972]] | 한국 정부, 남북 이산가족 상봉 행사에서 ‘납북자’ 사건 과소평가 | 2006-03-24 | 기밀 | |
| 108 | [[https://www.wikileaks.org/plusd/cables/06SEOUL973_a.html| 06SEOUL973 ]]| [[/06SEOUL973]] | 한명숙 총리 지명 | 2006-03-24 | 미분류 | 완료 |
| 109 | [[https://www.wikileaks.org/plusd/cables/06SEOUL990_a.html| 06SEOUL990 ]]| [[/06SEOUL990]] | 한국 관료들, 3월 8일 PSI 운영 전문가들과의 회동에서 대량살상무기(이하 WMD) 금지를 뒷받침하는 후속 단계 논의 | 2006-03-27 | 기밀 | 완료 |
| 110 | [[https://www.wikileaks.org/plusd/cables/06SEOUL997_a.html| 06SEOUL997 ]]| [[/06SEOUL997]] | 한국 정부, INCB의 미국 정부 측 후보 여전히 선호 | 2006-03-27 | 기밀 | |
| 111 | [[https://www.wikileaks.org/plusd/cables/06SEOUL1021_a.html| 06SEOUL1021 ]]| [[/06SEOUL1021]] | 한국, 남북 이산가족 상봉에서 대립을 해소하려고 북한에 ‘사과’했다는 비판 들어 | 2006-03-28 | 기밀 | |
| 112 | [[https://www.wikileaks.org/plusd/cables/06SEOUL1031_a.html| 06SEOUL1031 ]]| [[/06SEOUL1031]] | 북중 경제 관계의 최근 추세와 남북 협력에 미치는 영향 | 2006-03-29 | 대외비 | |
| 113 | [[https://www.wikileaks.org/plusd/cables/06SEOUL1033_a.html| 06SEOUL1033 ]]| [[/06SEOUL1033]] | 롤리스 부차관 통일외교안보정책실 서주석 방문 | 2006-03-29 | 비밀 | 완료 |
| 114 | [[https://www.wikileaks.org/plusd/cables/06SEOUL1034_a.html| 06SEOUL1034 ]]| [[/06SEOUL1034]] | 노무현 대통령, 경제 협력과 외교 관계를 강화하고자 아프리카 방문 | 2006-03-29 | 기밀 | |
| 115 | [[https://www.wikileaks.org/plusd/cables/06SEOUL1035_a.html| 06SEOUL1035 ]]| [[/06SEOUL1035]] | 미국, 캐나다, 한국, anti-TIP 그룹 재소집 | 2006-03-29 | 대외비 | |
| 116 | [[https://www.wikileaks.org/plusd/cables/06SEOUL1050_a.html| 06SEOUL1050 ]]| [[/06SEOUL1050]] | 훈센 캄보디아 총리의 한국 방문, 외국인 노동자를 한국에 보내는 문제에 집중 | 2006-03-30 | 기밀 | |
| 117 | [[https://www.wikileaks.org/plusd/cables/06SEOUL1089_a.html| 06SEOUL1089 ]]| [[/06SEOUL1089]] | 제이 레프코위츠 특사의 개성 언급에 대해 한국 정부 이례적으로 거센 반응 | 2006-04-03 | 기밀 | 완료 |
| 118 | [[https://www.wikileaks.org/plusd/cables/06SEOUL1090_a.html| 06SEOUL1090 ]]| [[/06SEOUL1090]] | 국회 4월 회기를 좌우할 정치 구도 | 2006-04-03 | 미분류 | 완료 |
| 119 | [[https://www.wikileaks.org/plusd/cables/06SEOUL1103_a.html| 06SEOUL1103 ]]| [[/06SEOUL1103]] | 노근리 장학 기금 전달의 논점 | 2006-04-04 | 미분류 | 완료 |
| 120 | [[https://www.wikileaks.org/plusd/cables/06SEOUL1104_a.html| 06SEOUL1104 ]]| [[/06SEOUL1104]] | 네바다 핵실험 부지에서 실시할 핵실험 통보 | 2006-04-04 | 미분류 | |
| 121 | [[https://www.wikileaks.org/plusd/cables/06SEOUL1108_a.html| 06SEOUL1108 ]]| [[/06SEOUL1108]] | 한국 정부, 미국 정부의 북한 난민 전략에 공식 반응 | 2006-04-04 | 기밀 | |
| 122 | [[https://www.wikileaks.org/plusd/cables/06SEOUL1128_a.html| 06SEOUL1128 ]]| [[/06SEOUL1128]] | 소고기 수입 재개 관련하여 난국을 타개하기 위한 핵심적 추가 정보 | 2006-04-06 | 대외비 | 할당 |
| 123 | [[https://www.wikileaks.org/plusd/cables/06SEOUL1154_a.html| 06SEOUL1154 ]]| [[/06SEOUL1154]] | 제7차 한미안보정책구상(SPI) 회의 | 2006-04-07 | 비밀 | 완료 |
| 124 | [[https://www.wikileaks.org/plusd/cables/06SEOUL1157_a.html| 06SEOUL1157 ]]| [[/06SEOUL1157]] | 한국, 유엔 인권위원회 출마키로 | 2006-04-07 | 미분류 | |
| 125 | [[https://www.wikileaks.org/plusd/cables/06SEOUL1158_a.html| 06SEOUL1158 ]]| [[/06SEOUL1158]] | 한국 정부, INCB 미국 측 후보 곧 지지키로 | 2006-04-07 | 기밀 | |
| 126 | [[https://www.wikileaks.org/plusd/cables/06SEOUL1159_a.html| 06SEOUL1159 ]]| [[/06SEOUL1159]] | 주한미군 환경조치계획 한국 정부에 통보 | 2006-04-07 | 기밀 | 완료 |
| 127 | [[https://www.wikileaks.org/plusd/cables/06SEOUL1179_a.html| 06SEOUL1179 ]]| [[/06SEOUL1179]] | 북한, 한국에 비료 30만 톤 추가 요청 | 2006-04-10 | 대외비 | |
| 128 | [[https://www.wikileaks.org/plusd/cables/06SEOUL1246_a.html| 06SEOUL1246 ]]| [[/06SEOUL1246]] | 한국 정부, 일본의 분쟁 수역 조사 계획에 항의 | 2006-04-14 | 기밀 | 완료 |
| 129 | [[https://www.wikileaks.org/plusd/cables/06SEOUL1266_a.html| 06SEOUL1266 ]]| [[/06SEOUL1266]] | 미 의회 관계자, 개성 공단 방문 | 2006-04-18 | 기밀 | |
| 130 | [[https://www.wikileaks.org/plusd/cables/06SEOUL1268_a.html| 06SEOUL1268 ]]| [[/06SEOUL1268]] | 한국 정부, CWC/HCA 개정 요청 | 2006-04-18 | 기밀 | |
| 131 | [[https://www.wikileaks.org/plusd/cables/06SEOUL1270_a.html| 06SEOUL1270 ]]| [[/06SEOUL1270]] | 한국 정부, 방콕 6인(탈북자)와 김춘희 문제 논의 | 2006-04-18 | 기밀 | |
| 132 | [[https://www.wikileaks.org/plusd/cables/06SEOUL1271_a.html| 06SEOUL1271 ]]| [[/06SEOUL1271]] | 주한 일본대사관 일본정부가 4월 21일 분쟁 해역 해저지형 조사 개시한다고 보고 | 2006-04-18 | 기밀 | 완료 |
| 133 | [[https://www.wikileaks.org/plusd/cables/06SEOUL1279_a.html| 06SEOUL1279 ]]| [[/06SEOUL1279]] | 한국 정부, 유엔 인권위원회에 대한 미국 정부 측 입장 지지 | 2006-04-19 | 미분류 | |
| 134 | [[https://www.wikileaks.org/plusd/cables/06SEOUL1284_a.html| 06SEOUL1284 ]]| [[/06SEOUL1284]] | 한국 정부, 2005년 항해안전(SUA) 규정 비준 고려 | 2006-04-19 | 미분류 | |
| 135 | [[https://www.wikileaks.org/plusd/cables/06SEOUL1293_a.html| 06SEOUL1293 ]]| [[/06SEOUL1293]] | 중국 국방장관, 고위급 방문 | 2006-04-19 | 기밀 | |
| 136 | [[https://www.wikileaks.org/plusd/cables/06SEOUL1294_a.html| 06SEOUL1294 ]]| [[/06SEOUL1294]] | 한국 종교의 좌파/우파/중도와 북한 | 2006-04-19 | 미분류 | |
| 137 | [[https://www.wikileaks.org/plusd/cables/06SEOUL1295_a.html| 06SEOUL1295 ]]| [[/06SEOUL1295]] | 한명숙 총리 인준 | 2006-04-19 | 기밀 | 완료 |
| 138 | [[https://www.wikileaks.org/plusd/cables/06SEOUL1298_a.html| 06SEOUL1298 ]]| [[/06SEOUL1298]] | 섀넌 차관보, 라틴아메리카 문제에 대해 한국에 조언 | 2006-04-20 | 기밀 | |
