<sortable 1>
^ 번호 ^ 원본 ^ 번역 ^ 제목 ^ 작성일 ^ 분류 ^ 상태 ^ 
| 701 | [[https://www.wikileaks.org/plusd/cables/07SEOUL2611_a.html| 07SEOUL2611 ]]| [[/07SEOUL2611]] | 통일부 장관, 북한이 자립 경제를 추구한다고 밝혀 | 2007-08-30 | 기밀 | 할당 |
| 702 | [[https://www.wikileaks.org/plusd/cables/07SEOUL2634_a.html| 07SEOUL2634 ]]| [[/07SEOUL2634]] | FTA: 김종훈 통상교섭본부장, 포메로이 의원과 소고기, 쌀, 자동차 문제 논의 | 2007-08-31 | 대외비 | 완료 |
| 703 | [[https://www.wikileaks.org/plusd/cables/07SEOUL2648_a.html| 07SEOUL2648 ]]| [[/07SEOUL2648]] | 한국 정부, 북방한계선(이하 NLL) 문제로 내부 논쟁. 남북 정상회담 안건이 될 것인가? | 2007-08-31 | 기밀/외국전파금지 | 완료 |
| 704 | [[https://www.wikileaks.org/plusd/cables/07SEOUL2651_a.html| 07SEOUL2651 ]]| [[/07SEOUL2651]] | 한국, 해성-II 함대함 미사일 시험 발사 | 2007-08-31 | 비밀 | |
| 705 | [[https://www.wikileaks.org/plusd/cables/07SEOUL2653_a.html| 07SEOUL2653 ]]| [[/07SEOUL2653]] | 아프가니스탄 인질 귀국과 남은 문제 | 2007-08-31 | 비밀 | 완료 |
| 706 | [[https://www.wikileaks.org/plusd/cables/07SEOUL2674_a.html| 07SEOUL2674 ]]| [[/07SEOUL2674]] | 청와대, 한미 정상회담 사전 검토: FTA와 소고기 문제 | 2007-09-04 | 기밀 | 보완 |
| 707 | [[https://www.wikileaks.org/plusd/cables/07SEOUL2675_a.html| 07SEOUL2675 ]]| [[/07SEOUL2675]] | 한국 정부, 시리아 행 철강 선적 허용할 계획 | 2007-09-04 | 비밀 | |
| 708 | [[https://www.wikileaks.org/plusd/cables/07SEOUL2694_a.html| 07SEOUL2694 ]]| [[/07SEOUL2694]] | 남북 정상회담의 성사 과정 | 2007-09-05 | 기밀 | 완료 |
| 709 | [[https://www.wikileaks.org/plusd/cables/07SEOUL2695_a.html| 07SEOUL2695 ]]| [[/07SEOUL2695]] | 론스타 스토리는 계속된다: 홍콩상하이은행, 외환은행 입찰 | 2007-09-05 | 기밀 | 완료 |
| 710 | [[https://www.wikileaks.org/plusd/cables/07SEOUL2696_a.html| 07SEOUL2696 ]]| [[/07SEOUL2696]] | 백종천 통일외교안보정책실장, 남북 정상회담과 비핵화 언급 | 2007-09-05 | 기밀 | 완료 |
| 711 | [[https://www.wikileaks.org/plusd/cables/07SEOUL2713_a.html| 07SEOUL2713 ]]| [[/07SEOUL2713]] | 대통합민주신당, 9명에서 5명으로 후보 압축 | 2007-09-06 | 기밀 | 완료 |
| 712 | [[https://www.wikileaks.org/plusd/cables/07SEOUL2728_a.html| 07SEOUL2728 ]]| [[/07SEOUL2728]] | 미 대사, 문정인 교수와 원희룡 한나라당 의원 면담 | 2007-09-07 | 기밀 | 완료 |
| 713 | [[https://www.wikileaks.org/plusd/cables/07SEOUL2761_a.html| 07SEOUL2761 ]]| [[/07SEOUL2761]] | 조일관계정상화 실무그룹회의 | 2007-09-11 | 기밀 | 완료 |
